0030,0,Số không
0031,1,Số một
0032,2,Số hai
0033,3,Số ba
0034,4,Số bốn
0035,5,Số năm
0036,6,Số sáu
0037,7,Số bảy
0038,8,Số tám
0039,9,Số chín
0041,A,Chữ A hoa
0042,B,Chữ B hoa
0043,C,Chữ C hoa
0044,D,Chữ D hoa
0045,E,Chữ E hoa
0046,F,Chữ F hoa
0047,G,Chữ G hoa
0048,H,Chữ H hoa
0049,I,Chữ I hoa
004A,J,Chữ J hoa
004B,K,Chữ K hoa
004C,L,Chữ L hoa
004D,M,Chữ M hoa
004E,N,Chữ N hoa
004F,O,Chữ O hoa
0050,P,Chữ P hoa
0051,Q,Chữ Q hoa
0052,R,Chữ R hoa
0053,S,Chữ S hoa
0054,T,Chữ T hoa
0055,U,Chữ U hoa
0056,V,Chữ V hoa
0057,W,Chữ W hoa
0058,X,Chữ X hoa
0059,Y,Chữ Y hoa
005A,Z,Chữ Z hoa
0061,a,Chữ a thường
0062,b,Chữ b thường
0063,c,Chữ c thường
0064,d,Chữ d thường
0065,e,Chữ e thường
0066,f,Chữ f thường
0067,g,Chữ g thường
0068,h,Chữ h thường
0069,i,Chữ i thường
006A,j,Chữ j thường
006B,k,Chữ k thường
006C,l,Chữ l thường
006D,m,Chữ m thường
006E,n,Chữ n thường
006F,o,Chữ o thường
0070,p,Chữ p thường
0071,q,Chữ q thường
0072,r,Chữ r thường
0073,s,Chữ s thường
0074,t,Chữ t thường
0075,u,Chữ u thường
0076,v,Chữ v thường
0077,w,Chữ w thường
0078,x,Chữ x thường
0079,y,Chữ y thường
007A,z,Chữ z thường
00C0,À,Chữ A hoa với dấu huyền
00C1,á,Chữ A hoa với dấu sắc
00C2,Â,Chữ Â hoa
00C3,ã,Chữ A hoa với dấu ngã
00C8,È,Chữ E hoa với dấu huyền
00C9,É,Chữ E hoa với dấu sắc
00CA,Ê,Chữ Ê hoa
00CC,Ì,Chữ I hoa với dấu huyền
